name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Royal Enfield Classic Gunmetal Grey,150000,2018,Individual,1St Owner,12000,148114.0
Yamaha Fazer Fi V 2.0 [2016-2018],65000,2015,Individual,1St Owner,23000,89643.0
Honda Cb Twister,18000,2010,Individual,1St Owner,60000,53857.0
Honda Cb Hornet 160R,78500,2018,Individual,1St Owner,17000,87719.0
Bajaj Discover 125,50000,2016,Individual,1St Owner,42000,60122.0
Yamaha Fz16,35000,2015,Individual,1St Owner,32000,78712.0
Honda Navi,28000,2016,Individual,2Nd Owner,10000,47255.0
Bajaj Avenger Street 220,80000,2018,Individual,1St Owner,21178,95955.0
Yamaha Yzf R3,365000,2019,Individual,1St Owner,1127,351680.0
Suzuki Access 125 [2007-2016],25000,2012,Individual,1St Owner,55000,58314.0
Yamaha Yzf R15 S,40000,2010,Individual,2Nd Owner,45000,117926.0
Royal Enfield Classic Gunmetal Grey,150000,2018,Individual,1St Owner,23000,148114.0
Yamaha Fz25,120000,2018,Individual,1St Owner,39000,132680.0
Honda Navi [2016-2017],26000,2016,Individual,1St Owner,17450,44389.0
Honda Activa I,32000,2013,Individual,2Nd Owner,20696,53900.0
Honda Dream Yuga,25000,2012,Individual,1St Owner,35000,56147.0
Honda Navi [2016-2017],42000,2017,Individual,1St Owner,24000,44389.0
Yamaha Fazer [2009-2016],40000,2013,Individual,3Rd Owner,35000,84751.0
Hero Glamour 125,55000,2017,Individual,1St Owner,2500,61600.0
Yamaha Fz S [2012-2016],38000,2013,Individual,1St Owner,75000,79432.0
Hero Xtreme Sports,43000,2016,Individual,2Nd Owner,50000,78350.0
Honda Cb Shine Sp,62000,2019,Individual,1St Owner,10000,71049.0
Honda Activa 5G,60000,2018,Individual,1St Owner,6502,57557.0
Hero Glamour 125,45000,2018,Individual,1St Owner,21000,61600.0
Honda Cbr-250R,120000,2016,Individual,1St Owner,16000,202310.0
Hero Glamour Fi,50000,2018,Individual,1St Owner,20000,71150.0
Hero Passion Xpro,28000,2012,Individual,1St Owner,81000,56750.0
Yamaha Fz S V 2.0,85000,2018,Individual,1St Owner,8000,84042.0
Hero Achiever 150,29900,2016,Individual,1St Owner,55000,69750.0
Bajaj Discover 125,25000,2011,Individual,1St Owner,57000,60122.0
Yamaha Fz16,30000,2009,Individual,2Nd Owner,26000,78712.0
Yamaha Saluto,60000,2018,Individual,1St Owner,13000,59844.0
Yamaha Fz16,35000,2012,Individual,2Nd Owner,29000,78712.0
Bajaj Discover 100,25000,2010,Individual,1St Owner,43000,42859.0
Honda Cb Trigger,30000,2015,Individual,1St Owner,40000,73413.0
Hero Splendor Pro,35000,2015,Individual,2Nd Owner,24000,49900.0
Honda Activa 5G,70000,2019,Individual,1St Owner,3000,59422.0
Bajaj Discover 125,25000,2013,Individual,1St Owner,55000,57549.0
Hero Splendor Pro,35000,2015,Individual,2Nd Owner,24000,51994.0
Hero Xtreme Sports,50000,2014,Individual,1St Owner,80000,80350.0
Honda Activa 3G,30000,2015,Individual,1St Owner,39000,54605.0
Yamaha Fz16,48000,2016,Individual,1St Owner,20000,78712.0
Honda Cb Hornet 160R,65000,2016,Individual,1St Owner,30000,88161.0
Hero Hunk,45000,2014,Individual,1St Owner,41000,78513.0
Suzuki Let''S,34000,2014,Individual,1St Owner,8000,50098.0
Mahindra Mojo Xt300,165000,2017,Individual,1St Owner,1933,195500.0
Bajaj Pulsar As200,65000,2015,Individual,1St Owner,15856,92074.0
Royal Enfield Thunderbird 350X,165000,2019,Individual,1St Owner,3700,164004.0
Honda Cb Unicorn 150,50000,2014,Individual,1St Owner,32000,74295.0
Honda Activa 5G,62000,2019,Individual,1St Owner,3500,57557.0
Honda Cb Twister,30000,2013,Individual,1St Owner,9000,53857.0
Hero Splendor Pro,28000,2015,Individual,1St Owner,38000,49642.0
Honda Activa I [2016-2017],30000,2015,Individual,2Nd Owner,20000,51112.0
Royal Enfield Classic Gunmetal Grey,140000,2018,Individual,1St Owner,22000,148114.0
Tvs Scooty Zest 110,30000,2017,Individual,1St Owner,9432,53751.0
Suzuki Access 125 [2007-2016],22000,2010,Individual,2Nd Owner,43000,58314.0
Honda Activa [2000-2015],22989,2012,Individual,1St Owner,500000,50267.0
Honda Activa 125 [2016-2017],42000,2016,Individual,1St Owner,30514,61653.0
Suzuki Gs150R,30000,2010,Individual,1St Owner,130000,70851.0
Honda Activa 4G,45000,2018,Individual,1St Owner,25000,53079.0
Yamaha Fz25,150000,2019,Individual,1St Owner,2500,133680.0
Bajaj Discover 100,24999,2012,Individual,2Nd Owner,35000,42859.0
Royal Enfield Classic Desert Storm,150000,2017,Individual,1St Owner,16500,181445.0
Bajaj V15,42000,2016,Individual,1St Owner,35000,65626.0
Yamaha Fz S V 2.0,50000,2015,Individual,1St Owner,20000,84042.0
Yamaha Fz25,120000,2017,Individual,1St Owner,9000,132680.0
Bajaj Discover 125 St,17500,2013,Individual,1St Owner,38000,58438.0
Honda Aviator,57000,2018,Individual,1St Owner,6465,61118.0
Hero Xtreme [2013-2014],25000,2013,Individual,1St Owner,24000,75936.0
Um Renegade Commando,160000,2018,Individual,1St Owner,7000,180525.0
Royal Enfield Classic Gunmetal Grey,135000,2018,Individual,1St Owner,6100,148114.0
Honda Cb Hornet 160R,55000,2017,Individual,1St Owner,14000,87543.0
Bajaj Discover 100,20000,2012,Individual,1St Owner,85000,42859.0
Honda Activa 5G,55000,2019,Individual,1St Owner,10000,57557.0
Bajaj Avenger Street 150 [2018],50000,2016,Individual,1St Owner,40000,80435.0
Honda Activa 3G,60000,2015,Individual,1St Owner,30000,54605.0
Honda Activa 3G,40000,2015,Individual,1St Owner,3000,54605.0
Bajaj Pulsar 180,15000,2008,Individual,1St Owner,55000,85011.0
